Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style
Kaleem Sana,Canada,Bowler,false,false,false,30y 122d,Right hand Bat,Left arm Medium fast
Jos Buttler,England,Wicketkeeper Batter,false,true,false,33y 235d,Right hand Bat,
Jonny Bairstow,England,Wicketkeeper Batter,false,false,false,34y 217d,Right hand Bat,Right arm Medium
Harry Brook,England,Batter,false,false,false,25y 68d,Right hand Bat,Right arm Medium
Ben Duckett,England,Top order Batter,false,false,false,29y 196d,Left hand Bat,Right arm Offbreak
Phil Salt,England,Wicketkeeper Batter,false,false,false,27y 246d,Right hand Bat,Right arm Offbreak
Moeen Ali,England,Batting Allrounder,false,false,false,36y 317d,Left hand Bat,Right arm Offbreak
Sam Curran,England,Allrounder,false,false,false,25y 332d,Left hand Bat,Left arm Medium fast
Will Jacks,England,Batting Allrounder,false,false,false,25y 161d,Right hand Bat,Right arm Offbreak
Liam Livingstone,England,Batting Allrounder,false,false,false,30y 270d,Right hand Bat,"Right arm Offbreak, Legbreak"
Jofra Archer,England,Bowler,false,false,false,29y 29d,Right hand Bat,Right arm Fast
Tom Hartley,England,Bowler,false,false,false,24y 363d,Left hand Bat,Slow Left arm Orthodox
Chris Jordan,England,Bowler,false,false,false,35y 209d,Right hand Bat,Right arm Fast medium
Adil Rashid,England,Bowler,false,false,false,36y 73d,Right hand Bat,Legbreak
Reece Topley,England,Bowler,false,false,false,30y 69d,Right hand Bat,Left arm Fast medium
Mark Wood,England,Bowler,false,false,false,34y 110d,Right hand Bat,Right arm Fast
Rohit Sharma,India,Top order Batter,false,true,false,37y,Right hand Bat,Right arm Offbreak
Yashasvi Jaiswal,India,Opening Batter,false,false,false,22y 124d,Left hand Bat,Legbreak
Virat Kohli,India,Top order Batter,false,false,false,35y 177d,Right hand Bat,Right arm Medium
Rishabh Pant,India,Wicketkeeper Batter,false,false,false,26y 209d,Left hand Bat,
Sanju Samson,India,Wicketkeeper Batter,false,false,false,29y 171d,Right hand Bat,
Suryakumar Yadav,India,Batter,false,false,false,33y 229d,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Hardik Pandya,India,Allrounder,false,false,true,30y 202d,Right hand Bat,Right arm Medium fast
Shivam Dube,India,Allrounder,false,false,false,30y 309d,Left hand Bat,Right arm Medium
Ravindra Jadeja,India,Allrounder,false,false,false,35y 146d,Left hand Bat,Slow Left arm Orthodox
Axar Patel,India,Allrounder,false,false,false,30y 101d,Left hand Bat,Slow Left arm Orthodox
Arshdeep Singh,India,Bowler,false,false,false,25y 85d,Left hand Bat,Left arm Medium fast
Jasprit Bumrah,India,Bowler,false,false,false,30y 146d,Right hand Bat,Right arm Fast
Yuzvendra Chahal,India,Bowler,false,false,false,33y 282d,Right hand Bat,Legbreak Googly
Kuldeep Yadav,India,Bowler,false,false,false,29y 138d,Left hand Bat,Left arm Wrist spin
Mohammed Siraj,India,Bowler,false,false,false,30y 48d,Right hand Bat,Right arm Fast
Ross Adair,Ireland,Top order Batter,false,false,false,30y 16d,Right hand Bat,Slow Left arm Orthodox
Andy Balbirnie,Ireland,Batter,false,false,false,33y 131d,Right hand Bat,Right arm Offbreak
Neil Rock,Ireland,Wicketkeeper Batter,false,false,false,23y 226d,Left hand Bat,
Harry Tector,Ireland,Middle order Batter,false,false,false,24y 153d,Right hand Bat,Right arm Offbreak
Lorcan Tucker,Ireland,Wicketkeeper Batter,false,false,false,27y 240d,Right hand Bat,
Paul Stirling,Ireland,Batting Allrounder,false,true,false,33y 247d,Right hand Bat,Right arm Offbreak
Mark Adair,Ireland,Bowling Allrounder,false,false,false,28y 41d,Right hand Bat,Right arm Fast medium
Curtis Campher,Ireland,Allrounder,false,false,false,25y 17d,Right hand Bat,Right arm Medium fast
Gareth Delany,Ireland,Batting Allrounder,false,false,false,27y 9d,Right hand Bat,Legbreak Googly
George Dockrell,Ireland,Allrounder,false,false,false,31y 290d,Right hand Bat,Slow Left arm Orthodox
Graham Hume,Ireland,Bowler,false,false,false,33y 166d,Left hand Bat,Right arm Fast medium
Josh Little,Ireland,Bowler,false,false,false,24y 188d,Right hand Bat,Left arm Fast medium
Barry McCarthy,Ireland,Bowler,false,false,false,31y 237d,Right hand Bat,Right arm Fast medium
Ben White,Ireland,Bowler,false,false,false,25y 252d,Right hand Bat,Legbreak
Craig Young,Ireland,Bowler,false,false,false,34y 33d,Right hand Bat,Right arm Fast medium
Nikolaas Davin,Namibia,Batter,false,false,false,26y 143d,Right hand Bat,Legbreak
Zane Green,Namibia,Wicketkeeper Batter,false,false,false,27y 212d,Left hand Bat,
JP Kotze,Namibia,Batter,false,false,false,30y 17d,Left hand Bat,
Malan Kruger,Namibia,Batter,false,false,false,29y 28d,Right hand Bat,
Dylan Leicher,Namibia,Middle order Batter,false,false,false,20y 7d,Right hand Bat,Right arm Medium
Gerhard Erasmus,Namibia,Allrounder,false,true,false,29y 29d,Right hand Bat,Right arm Offbreak
JJ Smit,Namibia,Bowling Allrounder,false,false,true,28y 182d,Right hand Bat,Left arm Medium fast
Jan Frylinck,Namibia,Allrounder,false,false,false,30y 34d,Left hand Bat,Left arm Fast medium
Michael van Lingen,Namibia,Bowling Allrounder,false,false,false,26y 199d,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox"
David Wiese,Namibia,Allrounder,false,false,false,38y 358d,Right hand Bat,Right arm Medium fast
Peter-Daniel Blignaut,Namibia,Bowler,false,false,false,18y 202d,Right hand Bat,Slow Left arm Orthodox
Jack Brassell,Namibia,Bowler,false,false,false,19y 40d,Right hand Bat,Right arm Medium
Tangeni Lungameni,Namibia,Bowler,false,false,false,32y 23d,Right hand Bat,Left arm Medium
Bernard Scholtz,Namibia,Bowler,false,false,false,33y 220d,Right hand Bat,Slow Left arm Orthodox
Ben Shikongo,Namibia,Bowler,false,false,false,24y 2d,Right hand Bat,Right arm Medium fast
Ruben Trumpelmann,Namibia,Bowler,false,false,false,26y 99d,Right hand Bat,Left arm Fast
Aasif Sheikh,Nepal,Wicketkeeper Batter,false,false,false,22y 314d,Right hand Bat,
Dipendra Singh Airee,Nepal,Middle order Batter,false,false,false,24y 98d,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Kushal Bhurtel,Nepal,Opening Batter,false,false,false,27y 100d,Right hand Bat,Legbreak Googly
Sundeep Jora,Nepal,Middle order Batter,false,false,false,22y 194d,Right hand Bat,
Anil Sah,Nepal,Wicketkeeper,false,false,false,25y 166d,Right hand Bat,Right arm Offbreak
