Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style
Cosmas Kyewuta,Uganda,Bowler,false,false,false,22y 130d,Right hand Bat,Right arm Medium
Juma Miyagi,Uganda,Bowler,false,false,false,21y 31d,Right hand Bat,Right arm Medium fast
Henry Ssenyondo,Uganda,Bowler,false,false,false,30y 268d,Right hand Bat,Slow Left arm Orthodox
Monank Patel,United States of America,Wicketkeeper Batter,false,true,false,31y 2d,Right hand Bat,
Aaron Jones,United States of America,Top order Batter,false,false,true,29y 197d,Right hand Bat,Legbreak Googly
Andries Gous,United States of America,Wicketkeeper Batter,false,false,false,30y 161d,Right hand Bat,
Nitish Kumar,United States of America,Top order Batter,false,false,false,29y 348d,Right hand Bat,Right arm Offbreak
Shayan Jahangir,United States of America,Batter,false,false,false,29y 131d,Right hand Bat,Right arm Medium fast
Steven Taylor,United States of America,Opening Batter,false,false,false,30y 176d,Left hand Bat,Right arm Offbreak
Corey Anderson,United States of America,Batting Allrounder,false,false,false,33y 142d,Left hand Bat,Left arm Medium fast
Harmeet Singh,United States of America,Bowling Allrounder,false,false,false,31y 239d,Left hand Bat,Slow Left arm Orthodox
Milind Kumar,United States of America,Allrounder,false,false,false,33y 78d,Right hand Bat,Right arm Offbreak
Nisarg Patel,United States of America,Allrounder,false,false,false,36y 13d,Right hand Bat,Slow Left arm Orthodox
Shadley van Schalkwyk,United States of America,Allrounder,false,false,false,35y 272d,Left hand Bat,Right arm Medium
Ali Khan,United States of America,Bowler,false,false,false,33y 142d,Right hand Bat,Right arm Fast medium
Jasdeep Singh,United States of America,Bowler,false,false,false,31y 83d,Right hand Bat,Right arm Medium
Nosthush Kenjige,United States of America,Bowler,false,false,false,33y 62d,Right hand Bat,Slow Left arm Orthodox
Saurabh Netravalkar,United States of America,Bowler,false,false,false,32y 200d,Right hand Bat,Left arm Fast medium
Rovman Powell,West Indies,Middle order Batter,false,true,false,30y 285d,Right hand Bat,Right arm Medium fast
Johnson Charles,West Indies,Wicketkeeper Batter,false,false,false,35y 110d,Right hand Bat,
Shimron Hetmyer,West Indies,Middle order Batter,false,false,false,27y 129d,Left hand Bat,
Shai Hope,West Indies,Wicketkeeper Batter,false,false,false,30y 175d,Right hand Bat,
Nicholas Pooran,West Indies,Wicketkeeper Batter,false,false,false,28y 214d,Left hand Bat,Right arm Offbreak
Sherfane Rutherford,West Indies,Middle order Batter,false,false,false,25y 262d,Left hand Bat,Right arm Fast medium
Brandon King,West Indies,Top order Batter,true,false,false,29y 139d,Right hand Bat,
Roston Chase,West Indies,Allrounder,false,false,false,32y 42d,Right hand Bat,Right arm Offbreak
Kyle Mayers,West Indies,Batting Allrounder,false,false,false,31y 238d,Left hand Bat,Right arm Medium
Andre Russell,West Indies,Allrounder,false,false,false,36y 4d,Right hand Bat,Right arm Fast
Romario Shepherd,West Indies,Bowling Allrounder,false,false,false,29y 159d,Right hand Bat,Right arm Fast medium
Jason Holder,West Indies,Bowling Allrounder,true,false,false,32y 180d,Right hand Bat,Right arm Medium fast
Alzarri Joseph,West Indies,Bowler,false,false,true,27y 165d,Right hand Bat,Right arm Fast
Akeal Hosein,West Indies,Bowler,false,false,false,31y 8d,Left hand Bat,Slow Left arm Orthodox
Shamar Joseph,West Indies,Bowler,false,false,false,24y 246d,Left hand Bat,Right arm Fast
Obed McCoy,West Indies,Bowler,false,false,false,27y 120d,Left hand Bat,Left arm Fast medium
Gudakesh Motie,West Indies,Bowler,false,false,false,29y 35d,Left hand Bat,Slow Left arm Orthodox
