Team,Code
Afghanistan,AFG
Australia,AUS
Bangladesh,BAN
Canada,CAN
England,ENG
India,IND
Ireland,IRE
Namibia,NAM
Nepal,NEP
Netherlands,NED
New Zealand,NZ
Oman,OMA
Pakistan,PAK
Papua New Guinea,PNG
Scotland,SCOT
South Africa,SA
Sri Lanka,SL
Uganda,UGA
United States of America,USA
West Indies,WI
