Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style,Matches_Played,Innings_Batted,Notouts,Runs_Scored,Balls_Faced,Highest_Score,Batting_Average,Batting_Strike_Rate,Hundreds,Fifties,Ducks,Fours,Sixes,Innings_Bowled,Overs_Bowled,Maidens_Earned,Runs_Conceded,Wickets_Taken,Best_Bowling_Figures,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Five_Wickets_Haul,Ten_Wickets_Haul,Catches_Taken,Stumpings_Made
Gulsan Jha,Nepal,Allrounder,false,false,false,18y 74d,Left hand Bat,Right arm Medium,3,3,,20,25,14,6.66,80.00,,,1,1,1,,,,,,,,,,,,,
Karan KC,Nepal,Allrounder,false,false,false,32y 204d,Right hand Bat,Right arm Fast,2,1,,17,12,17,17.00,141.66,,,,0,2,,,,,,,,,,,,,
Kushal Malla,Nepal,Batting Allrounder,false,false,false,20y 57d,Left hand Bat,Slow Left arm Orthodox,3,3,,37,52,27,12.33,71.15,,,,2,1,,,,,,,,,,,,,
Sompal Kami,Nepal,Bowling Allrounder,false,false,false,28y 89d,Right hand Bat,Right arm Fast medium,3,3,1,8,11,8*,4.00,72.72,,,2,0,1,3,9.0,1,34,3,2/10,11.33,3.77,18.0,,,1,
Pratis GC,Nepal,Bowling Allrounder,true,false,false,19y 345d,Right hand Bat,Left arm Medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamal Airee,Nepal,Bowler,false,false,false,23y 134d,Right hand Bat,Right arm Medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Abinash Bohara,Nepal,Bowler,false,false,false,26y 276d,Right hand Bat,Right arm Medium,3,2,,,2,,0.00,0.00,,,2,0,0,3,7.4,,58,1,1/29,58.00,7.56,46.0,,,,
Sagar Dhakal,Nepal,Bowler,false,false,false,22y 139d,Right hand Bat,Slow Left arm Orthodox,1,1,1,,1,0*,0.00,0.00,,,,0,0,,,,,,,,,,,,,
Sandeep Lamichhane,Nepal,Bowler,false,false,false,23y 273d,Right hand Bat,Legbreak Googly,2,1,1,,0,0*,0.00,0.00,,,,0,0,2,8.0,1,35,2,2/17,17.50,4.37,24.0,,,2,
Lalit Rajbanshi,Nepal,Bowler,false,false,false,25y 64d,Right hand Bat,Slow Left arm Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Edwards,Netherlands,Wicketkeeper Batter,false,true,false,27y 264d,Right hand Bat,,4,4,,71,64,31,17.75,110.93,,,,5,2,,,,,,,,,,,,,
Wesley Barresi,Netherlands,Batter,false,false,false,40y 10d,Right hand Bat,Right arm Offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Levitt,Netherlands,Top order Batter,false,false,false,20y 329d,Right hand Bat,Right arm Fast,4,4,,50,45,31,12.50,111.11,,,1,4,4,,,,,,,,,,,,,
Max O'Dowd,Netherlands,Opening Batter,false,false,false,30y 70d,Right hand Bat,Right arm Offbreak,4,4,1,79,78,54*,26.33,101.28,,1,,7,2,,,,,,,,,,,,,
Vikramjit Singh,Netherlands,Opening Batter,false,false,false,21y 125d,Left hand Bat,Right arm Medium,4,4,,67,71,26,16.75,94.36,,,,5,3,,,,,,,,,,,,,
Bas de Leede,Netherlands,Batting Allrounder,false,false,false,24y 180d,Right hand Bat,Right arm Fast medium,4,4,1,20,33,11*,6.66,60.60,,,1,1,0,4,13.5,1,119,3,2/22,39.66,8.60,27.6,,,3,
Sybrand Engelbrecht,Netherlands,Allrounder,false,false,false,35y 241d,Right hand Bat,Right arm Offbreak,4,4,,98,92,40,24.50,106.52,,,,6,3,,,,,,,,,,,,,
Teja Nidamanuru,Netherlands,Allrounder,false,false,false,29y 265d,Right hand Bat,Right arm Offbreak,2,1,,,1,,0.00,0.00,,,1,0,0,,,,,,,,,,,,,
Tim Pringle,Netherlands,Allrounder,false,false,false,21y 258d,Right hand Bat,Slow Left arm Orthodox,4,3,,3,16,2,1.00,18.75,,,1,0,0,4,13.0,,101,5,3/20,20.20,7.76,15.6,,,1,
Saqib Zulfiqar,Netherlands,Bowling Allrounder,false,false,false,27y 46d,Right hand Bat,Legbreak,,,,,,,,,,,,,,,,,,,,,,,,,,
Aryan Dutt,Netherlands,Bowler,false,false,false,21y 1d,Right hand Bat,Right arm Offbreak,2,2,1,25,20,15*,25.00,125.00,,,,2,1,2,7.0,,40,3,2/17,13.33,5.71,14.0,,,,
Vivian Kingma,Netherlands,Bowler,false,false,false,29y 203d,Right hand Bat,Right arm Medium fast,4,1,1,1,1,1*,0.00,100.00,,,,0,0,4,13.0,1,78,3,2/12,26.00,6.00,26.0,,,2,
Kyle Klein,Netherlands,Bowler,false,false,false,22y 315d,Right hand Bat,Right arm Medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan van Beek,Netherlands,Bowler,false,false,false,33y 249d,Right hand Bat,Right arm Medium fast,4,3,,25,26,23,8.33,96.15,,,1,3,0,4,15.2,1,127,7,3/18,18.14,8.28,13.1,,,5,
Paul van Meekeren,Netherlands,Bowler,false,false,false,31y 119d,Right hand Bat,Right arm Fast medium,4,2,1,4,9,3,4.00,44.44,,,,0,0,4,15.0,1,84,5,2/15,16.80,5.60,18.0,,,,
Daniel Doram,Netherlands,Bowler,true,false,false,26y 213d,Left hand Bat,Slow Left arm Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Klaassen,Netherlands,Bowler,true,false,false,31y 182d,Right hand Bat,Left arm Fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane Williamson,New Zealand,Top order Batter,false,true,false,33y 265d,Right hand Bat,Right arm Offbreak,4,3,1,28,32,18*,14.00,87.50,,,,3,0,,,,,,,,,,,,,
Finn Allen,New Zealand,Top order Batter,false,false,false,25y 7d,Right hand Bat,,4,4,,35,43,26,8.75,81.39,,,2,4,1,,,,,,,,,,,,,
Devon Conway,New Zealand,Wicketkeeper Batter,false,false,false,32y 296d,Left hand Bat,Right arm Medium,4,4,1,70,65,35,23.33,107.69,,,,7,3,,,,,,,,,,,,,
Michael Bracewell,New Zealand,Batting Allrounder,false,false,false,33y 75d,Left hand Bat,Right arm Offbreak,1,1,,,1,,0.00,0.00,,,1,0,0,,,,,,,,,,,,,
Mark Chapman,New Zealand,Allrounder,false,false,false,29y 307d,Left hand Bat,Slow Left arm Orthodox,1,1,,4,7,4,4.00,57.14,,,,0,0,,,,,,,,,,,,,
Daryl Mitchell,New Zealand,Batting Allrounder,false,false,false,32y 345d,Right hand Bat,Right arm Medium,4,3,1,36,30,19*,18.00,120.00,,,,5,0,,,,,,,,,,,,,
James Neesham,New Zealand,Batting Allrounder,false,false,false,33y 225d,Left hand Bat,Right arm Medium fast,2,1,,10,11,10,10.00,90.90,,,,0,1,1,4.0,,27,1,1/27,27.00,6.75,24.0,,,1,
Glenn Phillips,New Zealand,Allrounder,false,false,false,27y 145d,Right hand Bat,Right arm Offbreak,4,2,,58,51,40,29.00,113.72,,,,5,2,,,,,,,,,,,,,
Rachin Ravindra,New Zealand,Batting Allrounder,false,false,false,24y 163d,Left hand Bat,Slow Left arm Orthodox,3,3,1,17,25,10,8.50,68.00,,,,0,0,1,3.0,1,9,2,2/9,4.50,3.00,9.0,,,1,
Mitchell Santner,New Zealand,Bowling Allrounder,false,false,false,32y 84d,Left hand Bat,Slow Left arm Orthodox,4,2,1,25,20,21*,25.00,125.00,,,,0,3,4,13.4,,76,4,2/8,19.00,5.56,20.5,,,,
Trent Boult,New Zealand,Bowler,false,false,false,34y 282d,Right hand Bat,Left arm Fast medium,4,2,1,10,11,7,10.00,90.90,,,,0,1,4,16.0,2,59,9,3/16,6.55,3.68,10.6,,,,
Lockie Ferguson,New Zealand,Bowler,false,false,false,32y 321d,Right hand Bat,Right arm Fast,4,2,1,2,5,2,2.00,40.00,,,,0,0,4,16.0,4,64,7,3/0,9.14,4.00,13.7,,,2,
Matt Henry,New Zealand,Bowler,false,false,false,32y 137d,Right hand Bat,Right arm Fast medium,1,1,,12,17,12,12.00,70.58,,,,0,1,1,4.0,,37,2,2/37,18.50,9.25,12.0,,,,
Ish Sodhi,New Zealand,Bowler,false,false,false,31y 181d,Right hand Bat,Legbreak,1,,,,0,,0.00,0.00,,,,0,0,1,3.4,,29,2,2/29,14.50,7.90,11.0,,,,
Tim Southee,New Zealand,Bowler,false,false,false,35y 140d,Right hand Bat,Right arm Medium fast,3,1,,,1,,0.00,0.00,,,1,0,0,3,12.0,1,36,7,3/4,5.14,3.00,10.2,,,,
Aqib Ilyas,Oman,Top order Batter,false,true,false,31y 239d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",4,4,,42,35,18,10.50,120.00,,,1,5,2,3,11.0,1,76,2,1/17,38.00,6.90,33.0,,,1,
Pratik Athavale,Oman,Wicketkeeper Batter,false,false,false,27y 11d,Right hand Bat,Right arm Offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalid Kail,Oman,Middle order Batter,false,false,false,27y 201d,Right hand Bat,,4,4,,48,61,34,12.00,78.68,,,,2,1,,,,,,,,,,,,,
Mehran Khan,Oman,Batter,false,false,false,37y 18d,Right hand Bat,Right arm Medium fast,4,4,,47,36,27,11.75,130.55,,,1,4,2,3,8.0,1,61,6,3/7,10.16,7.62,8.0,,,1,
Naseem Khushi,Oman,Wicketkeeper,false,false,false,41y 264d,Right hand Bat,,2,2,,16,15,10,8.00,106.66,,,,1,1,,,,,,,,,,,,,
Kashyap Prajapati,Oman,Top order Batter,false,false,false,28y 203d,Right hand Bat,Right arm Offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoaib Khan,Oman,Batter,false,false,false,31y 147d,Right hand Bat,Right arm Medium,2,2,,11,27,11,5.50,40.74,,,1,1,0,,,,,,,,,,,,,
Zeeshan Maqsood,Oman,Opening Batter,false,false,false,36y 190d,Left hand Bat,Slow Left arm Orthodox,4,4,,27,36,22,6.75,75.00,,,,4,0,,,,,,,,,,,,,
Ayaan Khan,Oman,Allrounder,false,false,false,31y 245d,Left hand Bat,Slow Left arm Orthodox,4,4,1,93,95,41*,31.00,97.89,,,,6,3,2,3.0,,32,1,1/12,32.00,10.66,18.0,,,1,
Mohammad Nadeem,Oman,Allrounder,false,false,false,41y 240d,Right hand Bat,Right arm Medium fast,1,1,,6,10,6,6.00,60.00,,,,0,0,,,,,,,,,,,,,
Bilal Khan,Oman,Bowler,false,false,false,37y 21d,Left hand Bat,Left arm Medium fast,4,3,3,2,4,1*,0.00,50.00,,,,0,0,4,12.1,,109,4,1/12,27.25,8.95,18.2,,,,
Fayyaz Butt,Oman,Bowler,false,false,false,30y 258d,Right hand Bat,Right arm Medium fast,1,1,,2,7,2,2.00,28.57,,,,0,0,,,,,,,,,,,,,
Kaleemullah,Oman,Bowler,false,false,false,33y 129d,Right hand Bat,Right arm Medium,4,3,1,13,12,6*,6.50,108.33,,,,1,0,4,8.0,,67,2,1/10,33.50,8.37,24.0,,,,
Rafiullah,Oman,Bowler,false,false,false,27y 259d,Right hand Bat,Right arm Medium,1,1,,,3,,0.00,0.00,,,1,0,0,,,,,,,,,,,,,
Shakeel Ahmed,Oman,Bowler,false,false,false,36y 87d,Left hand Bat,Slow Left arm Orthodox,3,3,1,25,21,11,12.50,119.04,,,,3,0,,,,,,,,,,,,,
Babar Azam,Pakistan,Batter,false,true,false,29y 222d,Right hand Bat,Right arm Offbreak,4,4,1,122,120,44,40.66,101.66,,,,8,3,,,,,,,,,,,,,
Azam Khan,Pakistan,Wicketkeeper Batter,false,false,false,25y 288d,Right hand Bat,,1,1,,,1,,0.00,0.00,,,1,0,0,,,,,,,,,,,,,
Fakhar Zaman,Pakistan,Opening Batter,false,false,false,34y 44d,Left hand Bat,Slow Left arm Orthodox,4,4,,33,30,13,8.25,110.00,,,,1,2,,,,,,,,,,,,,
Iftikhar Ahmed,Pakistan,Middle order Batter,false,false,false,33y 264d,Right hand Bat,Right arm Offbreak,2,2,,23,23,18,11.50,100.00,,,,3,0,,,,,,,,,,,,,
Mohammad Rizwan,Pakistan,Wicketkeeper Batter,false,false,false,31y 358d,Right hand Bat,Right arm Medium,4,4,1,110,121,53*,36.66,90.90,,1,,5,3,,,,,,,,,,,,,
Saim Ayub,Pakistan,Top order Batter,false,false,false,22y,Left hand Bat,"Right arm Medium fast, Right arm Offbreak",2,2,,23,29,17,11.50,79.31,,,,2,1,,,,,,,,,,,,,
Usman Khan,Pakistan,Top order Batter,false,false,false,29y 14d,Right hand Bat,Right arm Offbreak,4,4,1,20,22,13,6.66,90.90,,,,1,0,,,,,,,,,,,,,
Imad Wasim,Pakistan,Allrounder,false,false,false,35y 158d,Left hand Bat,Slow Left arm Orthodox,3,2,,19,29,15,9.50,65.51,,,,2,0,3,11.0,,44,3,3/8,14.66,4.00,22.0,,,2,
Shadab Khan,Pakistan,Allrounder,false,false,false,25y 233d,Right hand Bat,Legbreak,4,3,,44,34,40,14.66,129.41,,,1,1,3,,,,,,,,,,,,,
Abbas Afridi,Pakistan,Bowler,false,false,false,23y 49d,Right hand Bat,Right arm Medium fast,1,1,,17,21,17,17.00,80.95,,,,1,1,,,,,,,,,,,,,
Abrar Ahmed,Pakistan,Bowler,false,false,false,25y 256d,Right hand Bat,Legbreak Googly,,,,,,,,,,,,,,,,,,,,,,,,,,
Haris Rauf,Pakistan,Bowler,false,false,false,30y 199d,Right hand Bat,Right arm Fast,4,1,1,3,3,3*,0.00,100.00,,,,0,0,4,15.0,,101,7,3/21,14.42,6.73,12.8,,,1,
Mohammad Amir,Pakistan,Bowler,false,false,false,32y 41d,Left hand Bat,Left arm Fast medium,4,,,,0,,0.00,0.00,,,,0,0,4,16.0,1,72,7,2/11,10.28,4.50,13.7,,,2,
Naseem Shah,Pakistan,Bowler,false,false,false,21y 99d,Right hand Bat,Right arm Fast,3,1,1,10,4,10*,0.00,250.00,,,,2,0,3,12.0,,71,5,3/21,14.20,5.91,14.4,,,1,
Shaheen Shah Afridi,Pakistan,Bowler,false,false,false,24y 48d,Left hand Bat,Left arm Fast,4,3,3,36,22,23*,0.00,163.63,,,,1,4,4,16.0,,105,5,3/22,21.00,6.56,19.2,,,1,
Assad Vala,Papua New Guinea,Batter,false,true,false,36y 277d,Left hand Bat,Right arm Offbreak,4,4,,30,42,21,7.50,71.42,,,1,3,1,3,7.0,1,42,3,2/28,14.00,6.00,14.0,,,2,
Sese Bau,Papua New Guinea,Middle order Batter,false,false,false,31y 320d,Left hand Bat,Right arm Offbreak,4,4,,67,80,50,16.75,83.75,,1,1,8,1,,,,,,,,,,,,,
Kiplin Doriga,Papua New Guinea,Wicketkeeper Batter,false,false,false,28y 203d,Right hand Bat,,4,4,1,71,77,27*,23.66,92.20,,,,6,1,,,,,,,,,,,,,
Hiri Hiri,Papua New Guinea,Middle order Batter,false,false,false,29y 7d,Right hand Bat,Right arm Offbreak,4,4,,25,39,15,6.25,64.10,,,,3,0,,,,,,,,,,,,,
Lega Siaka,Papua New Guinea,Opening Batter,false,false,false,31y 139d,Right hand Bat,"Right arm Fast medium, Legbreak",3,3,,13,20,12,4.33,65.00,,,1,1,0,,,,,,,,,,,,,
Tony Ura,Papua New Guinea,Opening Batter,false,false,false,34y 206d,Right hand Bat,,4,4,,16,31,11,4.00,51.61,,,,1,0,,,,,,,,,,,,,
Hila Vare,Papua New Guinea,Batter,false,false,false,22y 272d,Left hand Bat,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Amini,Papua New Guinea,Allrounder,false,false,true,32y 24d,Left hand Bat,Legbreak,3,3,,34,53,17,11.33,64.15,,,,2,0,,,,,,,,,,,,,
Jack Gardner,Papua New Guinea,Bowler,false,false,false,23y 137d,Left hand Bat,Left arm Fast,,,,,,,,,,,,,,,,,,,,,,,,,,
Semo Kamea,Papua New Guinea,Bowler,false,false,false,22y 261d,Left hand Bat,Slow Left arm Orthodox,2,2,1,3,4,2,3.00,75.00,,,,0,0,2,6.0,,39,2,1/16,19.50,6.50,18.0,,,1,
John Kariko,Papua New Guinea,Bowler,false,false,false,20y 113d,Right hand Bat,Left arm Medium,3,2,2,4,9,4*,0.00,44.44,,,,1,0,3,11.0,,50,1,1/17,50.00,4.54,66.0,,,1,
Kabua Morea,Papua New Guinea,Bowler,false,false,false,30y 221d,Right hand Bat,Right arm Medium,2,2,1,2,5,2*,2.00,40.00,,,1,0,0,2,5.2,,34,2,2/4,17.00,6.37,16.0,,,,
Alei Nao,Papua New Guinea,Bowler,false,false,false,30y 151d,Right hand Bat,Right arm Medium fast,4,4,,21,32,13,5.25,65.62,,,1,2,0,4,13.0,1,73,4,2/16,18.25,5.61,19.5,,,,
Chad Soper,Papua New Guinea,Bowler,false,false,false,32y 171d,Right hand Bat,Right arm Medium,4,4,,24,52,10,6.00,46.15,,,,1,0,4,10.1,,65,2,1/13,32.50,6.39,30.5,,,,
Norman Vanua,Papua New Guinea,Bowler,false,false,false,30y 158d,,,3,3,,19,30,14,6.33,63.33,,,1,1,1,3,8.0,,43,3,2/19,14.33,5.37,16.0,,,,
Richie Berrington,Scotland,Top order Batter,false,true,false,37y 33d,Right hand Bat,Right arm Medium fast,4,3,2,102,73,47*,102.00,139.72,,,,4,5,,,,,,,,,,,,,
Matthew Cross,Scotland,Wicketkeeper Batter,false,false,false,31y 204d,Right hand Bat,,4,3,1,36,24,18,18.00,150.00,,,,1,3,,,,,,,,,,,,,
Ollie Hairs,Scotland,Opening Batter,false,false,false,33y 22d,Left hand Bat,Right arm Offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Jones,Scotland,Top order Batter,false,false,false,26y 122d,Right hand Bat,Right arm Offbreak,4,4,1,89,66,45*,29.66,134.84,,,,8,5,,,,,,,,,,,,,
George Munsey,Scotland,Opening Batter,false,false,false,31y 75d,Left hand Bat,Right arm Medium fast,4,4,1,124,89,41*,41.33,139.32,,,,8,9,,,,,,,,,,,,,
Charlie Tear,Scotland,Wicketkeeper Batter,false,false,false,19y 329d,Right hand Bat,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Leask,Scotland,Allrounder,false,false,false,33y 190d,Right hand Bat,Right arm Offbreak,4,2,,40,25,35,20.00,160.00,,,,0,4,3,9.0,,76,1,1/16,76.00,8.44,54.0,,,,
Brandon McMullen,Scotland,Batting Allrounder,false,false,false,24y 201d,Right hand Bat,Right arm Medium,4,3,1,140,82,61*,70.00,170.73,,2,,13,8,,,,,,,,,,,,,
Brad Currie,Scotland,Bowler,false,false,false,25y 180d,Right hand Bat,Left arm Medium,2,,,,0,,0.00,0.00,,,,0,0,1,4.0,,16,2,2/16,8.00,4.00,12.0,,,1,
Chris Greaves,Scotland,Bowler,false,false,false,33y 207d,Right hand Bat,Legbreak,4,2,2,13,13,9*,0.00,100.00,,,,0,0,3,5.0,,30,2,1/2,15.00,6.00,15.0,,,,
Jack Jarvis,Scotland,Bowler,false,false,false,20y 343d,Right hand Bat,Right arm Medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,
Safyaan Sharif,Scotland,Bowler,false,false,false,32y 348d,Right hand Bat,Right arm Medium fast,2,,,,0,,0.00,0.00,,,,0,0,2,8.0,,82,4,2/40,20.50,10.25,12.0,,,1,
Chris Sole,Scotland,Bowler,false,false,false,30y 69d,Right hand Bat,Right arm Fast medium,4,,,,0,,0.00,0.00,,,,0,0,3,10.0,,97,2,1/23,48.50,9.70,30.0,,,,
Mark Watt,Scotland,Bowler,false,false,false,27y 282d,Left hand Bat,Slow Left arm Orthodox,4,,,,0,,0.00,0.00,,,,0,0,3,12.0,,98,3,2/34,32.66,8.16,24.0,,,2,
Brad Wheal,Scotland,Bowler,false,false,false,27y 252d,Right hand Bat,Right arm Fast medium,4,,,,0,,0.00,0.00,,,,0,0,3,11.4,1,80,5,3/33,16.00,6.85,14.0,,,1,
Aiden Markram,South Africa,Opening Batter,false,true,false,29y 209d,Right hand Bat,Right arm Offbreak,9,9,1,123,122,46,15.37,100.81,,,1,14,2,5,10.0,,69,2,1/8,34.50,6.90,30.0,,,8,
Quinton de Kock,South Africa,Wicketkeeper Batter,false,false,false,31y 135d,Left hand Bat,,9,9,,243,173,74,27.00,140.46,,2,1,21,13,,,,,,,,,,,,,
Reeza Hendricks,South Africa,Opening Batter,false,false,false,34y 260d,Right hand Bat,Right arm Offbreak,9,9,1,113,129,43,14.12,87.59,,,2,11,3,,,,,,,,,,,,,
Heinrich Klaasen,South Africa,Wicketkeeper Batter,false,false,false,32y 275d,Right hand Bat,Right arm Offbreak,9,8,2,190,150,52,31.66,126.66,,1,,9,13,,,,,,,,,,,,,
David Miller,South Africa,Middle order Batter,false,false,false,34y 325d,Left hand Bat,Right arm Offbreak,9,8,2,169,165,59*,28.16,102.42,,1,1,10,8,,,,,,,,,,,,,
Ryan Rickelton,South Africa,Wicketkeeper Batter,false,false,false,27y 294d,Left hand Bat,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristan Stubbs,South Africa,Batter,false,false,false,23y 260d,Right hand Bat,Right arm Offbreak,9,8,3,165,163,33,33.00,101.22,,,1,13,3,,,,,,,,,,,,,
Marco Jansen,South Africa,Bowling Allrounder,false,false,false,23y 365d,Right hand Bat,Left arm Medium fast,9,6,2,32,33,21*,8.00,96.96,,,1,1,1,9,31.1,,213,7,3/16,30.42,6.83,26.7,,,4,
Ottneil Baartman,South Africa,Bowler,false,false,false,31y 43d,Right hand Bat,Right arm Medium fast,5,,,,0,,0.00,0.00,,,,0,0,5,19.0,1,94,6,4/11,15.66,4.94,19.0,,,1,
Gerald Coetzee,South Africa,Bowler,false,false,false,23y 211d,Right hand Bat,Right arm Fast,,,,,,,,,,,,,,,,,,,,,,,,,,
Bjorn Fortuin,South Africa,Bowler,false,false,false,29y 192d,Right hand Bat,Slow Left arm Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,
Keshav Maharaj,South Africa,Bowler,false,false,false,34y 83d,Right hand Bat,Slow Left arm Orthodox,8,5,4,13,24,5*,13.00,54.16,,,,1,0,8,28.0,,175,11,3/27,15.90,6.25,15.2,,,2,
Anrich Nortje,South Africa,Bowler,false,false,false,30y 166d,Right hand Bat,Right arm Fast,9,1,1,1,1,1*,0.00,100.00,,,,0,0,9,35.0,,201,15,4/7,13.40,5.74,14.0,,,2,
Kagiso Rabada,South Africa,Bowler,false,false,false,28y 341d,Left hand Bat,Right arm Fast,9,3,1,9,7,5*,4.50,128.57,,,1,2,0,9,31.0,2,195,13,3/18,15.00,6.29,14.3,,,3,
Tabraiz Shamsi,South Africa,Bowler,false,false,false,34y 72d,Right hand Bat,Left arm Wrist spin,5,,,,0,,0.00,0.00,,,,0,0,5,16.5,,128,11,4/19,11.63,7.60,9.1,,,,
Kusal Mendis,Sri Lanka,Wicketkeeper Batter,false,false,false,29y 97d,Right hand Bat,Legbreak,3,3,,75,67,46,25.00,111.94,,,,8,0,,,,,,,,,,,,,
Pathum Nissanka,Sri Lanka,Top order Batter,false,false,false,25y 357d,Right hand Bat,,3,3,,50,38,47,16.66,131.57,,,1,7,1,,,,,,,,,,,,,
Sadeera Samarawickrama,Sri Lanka,Wicketkeeper Batter,false,false,false,28y 253d,Right hand Bat,,1,1,,,1,,0.00,0.00,,,1,0,0,,,,,,,,,,,,,
Wanindu Hasaranga,Sri Lanka,Allrounder,false,true,false,26y 285d,Right hand Bat,Legbreak,3,3,1,20,9,20*,10.00,222.22,,,2,1,2,3,11.2,,79,6,2/22,13.16,6.97,11.3,,,2,
Charith Asalanka,Sri Lanka,Batting Allrounder,false,false,true,26y 315d,Left hand Bat,Right arm Offbreak,3,3,,71,51,46,23.66,139.21,,,,1,6,,,,,,,,,,,,,
Dhananjaya de Silva,Sri Lanka,Allrounder,false,false,false,32y 246d,Right hand Bat,Right arm Offbreak,2,2,,55,52,34,27.50,105.76,,,,4,1,1,2.0,,11,1,1/11,11.00,5.50,12.0,,,,
Angelo Mathews,Sri Lanka,Allrounder,false,false,false,36y 342d,Right hand Bat,Right arm Medium,3,3,1,62,50,30*,31.00,124.00,,,,2,4,,,,,,,,,,,,,
Kamindu Mendis,Sri Lanka,Allrounder,false,false,false,25y 222d,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",3,3,,32,40,17,10.66,80.00,,,,3,1,,,,,,,,,,,,,
Dasun Shanaka,Sri Lanka,Allrounder,false,false,false,32y 243d,Right hand Bat,Right arm Medium,3,3,,12,18,9,4.00,66.66,,,1,0,1,3,5.0,1,27,2,1/6,13.50,5.40,15.0,,,,
Dushmantha Chameera,Sri Lanka,Bowler,false,false,false,32y 119d,Right hand Bat,Right arm Fast,,,,,,,,,,,,,,,,,,,,,,,,,,
Dilshan Madushanka,Sri Lanka,Bowler,false,false,false,23y 234d,Right hand Bat,Left arm Fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheesha Pathirana,Sri Lanka,Bowler,false,false,false,21y 143d,Right hand Bat,Right arm Fast,3,2,1,,5,0*,0.00,0.00,,,1,0,0,3,10.0,,51,3,2/12,17.00,5.10,20.0,,,,
Maheesh Theekshana,Sri Lanka,Bowler,false,false,false,23y 282d,Right hand Bat,Right arm Offbreak,3,2,1,7,19,7*,7.00,36.84,,,1,1,0,3,8.0,,53,1,1/25,53.00,6.62,48.0,,,2,
Nuwan Thushara,Sri Lanka,Bowler,false,false,false,29y 277d,Right hand Bat,Right arm Medium fast,3,2,1,,5,0*,0.00,0.00,,,1,0,0,3,10.4,,60,8,4/18,7.50,5.62,8.0,,,,
Dunith Wellalage,Sri Lanka,Bowler,false,false,false,21y 121d,Left hand Bat,Slow Left arm Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Achelam,Uganda,Wicketkeeper Batter,false,false,false,23y 100d,Right hand Bat,,1,1,,9,13,9,9.00,69.23,,,,1,0,,,,,,,,,,,,,
Roger Mukasa,Uganda,Batter,false,false,false,34y 350d,Right hand Bat,Right arm Offbreak,3,3,,,6,,0.00,0.00,,,3,0,0,,,,,,,,,,,,,
Robinson Obuya,Uganda,Batter,false,false,false,23y 146d,Right hand Bat,,4,4,,21,36,14,5.25,58.33,,,1,1,1,,,,,,,,,,,,,
Ronak Patel,Uganda,Batter,false,false,false,35y 262d,Right hand Bat,Slow Left arm Orthodox,2,2,,6,22,4,3.00,27.27,,,,1,0,,,,,,,,,,,,,
Simon Ssesazi,Uganda,Wicketkeeper Batter,false,false,false,27y 260d,Left hand Bat,Right arm Slow,4,4,,9,11,4,2.25,81.81,,,1,2,0,,,,,,,,,,,,,
Riazat Ali Shah,Uganda,Batting Allrounder,false,false,true,26y 76d,Right hand Bat,Right arm Medium,4,4,,49,111,33,12.25,44.14,,,,1,0,2,2.0,,21,1,1/10,21.00,10.50,12.0,,,1,
Dinesh Nakrani,Uganda,Allrounder,false,false,false,32y 228d,Left hand Bat,Left arm Medium,4,4,,10,26,6,2.50,38.46,,,2,1,0,2,6.0,,57,1,1/20,57.00,9.50,36.0,,,1,
Frank Nsubuga,Uganda,Allrounder,false,false,false,43y 252d,Right hand Bat,Right arm Offbreak,2,1,,,3,,0.00,0.00,,,1,0,0,2,7.0,2,33,2,2/4,16.50,4.71,21.0,,,,
Alpesh Ramjani,Uganda,Allrounder,false,false,false,29y 225d,Left hand Bat,Slow Left arm Orthodox,4,4,,13,24,8,3.25,54.16,,,2,2,0,3,11.0,1,66,4,2/17,16.50,6.00,16.5,,,2,
Kenneth Waiswa,Uganda,Allrounder,false,false,false,25y 177d,Right hand Bat,Right arm Medium,3,3,1,19,44,11,9.50,43.18,,,,2,0,,,,,,,,,,,,,
